user_id,item_list
1,101 36 506 403 515 123 977 1546 112 183
2,1095 12 949 196 102 359 47 422 50 416
3,59 4252 3849 536 857 648 9467 956 259 2172
4,28 249 50 7 136 5 1 145 139 171
5,131 1570 77 95 1511 135 170 766 8 238
6,886 229 88 196 395 263 6 9 743 546
8,210 451 443 95 600 480 3916 722 1130 80
9,9018 20151 2821 21322 17799 10108 13958 4535 6415 4802
10,1446 1816 561 1668 2423 2617 2565 3905 1767 3721
11,58 40 44 31 67 185 52 4 93 955
12,4704 2582 325 183 261 2242 843 329 408 2781
13,1316 11016 10234 2403 11174 9817 1875 11747 11048 9813
14,345 51 297 1050 90 2909 1076 571 202 475
15,236 308 6957 1107 707 35 388 756 17 653
16,7 29 617 9752 1346 946 1569 1463 1692 12237
17,44 43 229 98 19 57 16 80 11 50
18,332 192 766 255 617 164 3226 1013 1258 179
19,3571 252 154 9442 8473 8044 13413 764 9482 10660
20,192 279 134 573 467 313 376 482 1004 205
21,152 405 786 1111 873 458 2 615 13 484
23,1279 2295 6111 82 143 3351 8444 9318 6066 1290
24,18934 4937 13156 2247 22124 13803 10595 15801 8318 8516
25,6105 19548 18088 51 11929 20128 183 137 107 42
26,1256 15 139 1089 314 269 254 1005 474 2593
28,325 47 19 11 843 33 136 133 37 1821
29,28 1555 627 516 4688 43 4508 47 77 17
30,17058 23 57 17056 160 259 12 15355 71 1259
32,379 1393 2316 2734 2141 12332 1986 418 2418 1946
33,61 4904 1510 11199 1278 205 435 6937 264 1807
34,567 365 888 434 1159 812 6219 1586 10001 3602
35,314 139 254 146 996 1079 1081 3847 165 474
36,4 283 181 202 183 16 295 44 6 359
38,101 2 38 161 11 2705 4 459 354 439
39,1057 1 36 304 29 165 101 378 139 269
40,17 47 31 19 174 58 201 2546 253 9
41,31 58 55 112 618 592 605 1 486 77
42,229 5744 1310 249 329 1369 1040 132 459 293
43,238 149 683 21 372 15 229 36 2996 1369
44,499 215 133 267 439 289 457 30 197 350
45,202 21 456 30 783 10 413 1230 860 15
46,2253 322 4116 5625 4126 1505 22 417 1747 1218
47,214 38 211 96 1635 344 112 232 230 442
48,28 7 17 47 332 37 296 27 1337 46
49,116 148 5 182 344 138 309 10 4 147
50,177 143 67 481 199 748 634 235 1043 4
51,238 428 625 4 919 566 1014 678 250 42
52,94 438 146 133 139 6446 498 81 262 1395
53,3970 6472 3687 7075 4819 6471 859 6273 9043 18028
54,112 2 19 238 769 278 6 174 600 8
55,5255 12798 13878 6617 6095 6941 10578 21154 18909 9587
56,384 831 6 1198 167 99 143 2531 933 116
57,160 648 956 104 536 159 144 927 2043 117
58,2404 101 3945 693 433 36 308 1546 582 699
59,93 612 4462 1190 415 353 38 937 5051 214
60,2 4 1 7 3 6 8 9 15 20
62,2669 278 291 12564 411 1785 85 950 106 238
63,1316 1668 80 65 34 3011 4833 115 20 624
64,379 36 41 109 3124 5360 5 7128 6260 161
65,2 4 1 7 3 6 8 9 15 20
67,181 739 13 6203 23 871 111 2 445 122
68,281 96 138 546 743 1151 1994 481 324 3373
69,25 95 14 371 33 22 38 1372 1471 1244
70,67 2 413 33 177 1103 614 1 135 26
72,9653 7169 7454 8620 10901 10910 39 41 6479 58
73,125 21 112 4252 998 247 516 109 10057 687
74,27 11 47 815 2579 4 42 1004 143 197
75,184 56 258 319 19 803 124 1028 1417 702
76,308 66 77 304 31 556 2401 390 547 40
77,1 6 18 7 155 771 131 600 285 722
78,155 546 81 131 63 345 88 751 7212 305
79,138 208 146 21 171 1070 109 2025 254 2085
81,135 250 172 22 2599 7600 243 790 705 664
82,55 76 49 33 181 4 23 75 65 542
83,117 1083 5 1214 1288 2237 805 510 486 308
84,411 583 905 1497 1537 229 2243 2 2117 4
85,116 60 31 41 39 405 458 1539 143 304
86,154 786 398 28 1326 267 457 47 17 300
88,346 99 11531 1222 1089 48 56 133 2725 318
89,138 154 12673 10 35 15015 12672 324 15014 433
90,21 64 192 109 98 104 34 144 672 147
91,90 82 2 4 143 187 1406 915 38 884
92,21868 22320 2988 20337 9622 1346 21604 21223 147 14083
93,95 220 768 1024 532 28 174 901 17 1044
94,28 51 42 498 11 6 1020 1545 601 21
95,112 339 44 482 1842 2933 586 2456 26 4
96,72 766 617 1264 1346 601 483 394 256 1692
97,654 6530 423 16700 21044 18907 4 7604 687 1777
98,7839 8688 11765 21 143 112 19530 13600 29 10
99,64 57 96 138 204 995 877 21 356 511
100,313 63 99 764 112 1050 636 11 6 263
101,82 2314 112 137 754 837 707 282 1290 526
102,7055 67 5724 1795 2147 2904 7030 2284 135 5725
103,155 901 13 694 751 172 97 1481 98 149
104,112 75 23 119 299 672 15012 252 71 147
105,8752 19078 21 18668 6820 16862 885 196 6804 190
107,39 55 51 16 313 764 4 229 97 96
108,1 32 689 182 94 585 298 108 147 756
109,131 1975 2358 87 1173 51 284 5852 745 4235
110,82 428 58 1155 625 390 755 2416 19 600
111,59 95 35 371 536 220 584 648 56 860
112,498 105 2603 3692 365 690 823 674 13908 264
113,168 104 9 372 184 1391 224 641 913 1805
114,5 17 575 102 5427 50 37 293 7236 111
115,1511 44 263 1220 2700 121 1301 4 1829 16
116,15 101 354 403 544 699 785 1546 922 161
