user_id,item_list
1,1 3 6 10 5 4 2 8 25 11
2,4 2 8 3 6 9 19 75 11 20
3,2 4 7 1 9 8 6 5 22 15
4,1 7 6 3 2 10 25 40 4 26
5,7 2 15 10 4 6 3 14 11 8
6,3 2 6 5 7 29 45 20 15 26
8,2 4 6 7 10 25 3 16 26 22
9,2 3 1 7 6 4 25 15 8 9
10,2 4 8 3 9 10 7 6 15 5
11,7 4 45 6 10 22 2 9 15 36
12,10 25 7 6 5 2 29 20 32 45
13,4 3 7 6 10 8 20 2 15 11
14,1 4 7 9 3 15 6 8 19 75
15,2 1 3 7 15 8 25 4 17 10
16,1 2 11 3 6 8 7 4 18 15
17,1 2 6 7 10 4 11 3 17 32
18,7 8 10 16 2 3 4 6 15 45
19,2 1 4 6 7 26 3 19 11 10
20,4 6 7 2 1 11 8 25 10 9
21,7 8 2 1 4 15 9 10 11 28
23,5 2 7 1 6 10 25 8 15 47
24,1 2 4 11 7 15 9 8 68 38
25,2 6 4 1 10 7 18 3 11 9
26,2 4 6 15 8 3 9 25 21 68
28,3 10 7 15 25 11 20 9 8 51
29,2 1 5 15 7 6 4 3 8 10
30,4 7 1 10 6 8 19 22 9 75
32,2 4 6 10 16 24 3 8 9 15
33,7 1 2 11 15 6 4 8 10 3
34,2 9 4 11 6 1 8 7 15 26
35,7 10 4 1 2 3 8 32 14 6
36,4 15 6 14 3 11 34 16 37 22
38,7 2 3 5 8 10 11 19 26 4
39,7 2 1 10 4 3 25 8 6 14
40,7 1 4 25 3 45 75 16 15 61
41,1 4 10 8 9 15 25 12 5 20
42,2 1 3 7 4 15 8 10 26 9
43,2 10 6 4 1 7 5 16 24 3
44,2 1 6 7 10 3 4 15 45 9
45,2 6 1 4 26 10 7 3 5 15
46,2 7 1 4 3 15 10 8 6 9
47,3 2 10 25 4 79 22 9 45 5
48,5 7 3 1 10 8 6 15 20 4
49,2 4 10 7 8 5 15 3 6 59
50,2 1 10 6 8 9 25 15 4 7
51,7 4 2 10 5 26 9 11 48 19
52,7 2 6 5 1 15 10 3 4 11
53,7 4 2 9 15 3 8 1 10 14
54,2 1 4 15 6 26 10 3 9 8
55,5 1 7 29 2 3 38 15 6 19
56,1 4 25 10 6 20 7 19 75 16
57,7 1 4 2 8 11 6 10 15 3
58,6 2 9 4 1 10 3 8 5 7
59,1 2 7 6 8 3 5 11 21 4
60,517 189 44 0 284 808 285 1 557 1266
62,4 2 7 1 6 75 3 11 9 10
63,2 10 4 6 3 45 1 16 9 54
64,7 10 6 3 2 45 8 14 5 25
65,517 189 44 0 284 808 285 1 557 1266
67,7 15 8 2 29 4 6 20 19 21
68,2 7 4 3 15 8 5 14 6 9
69,10 3 2 20 4 25 15 6 9 11
70,9 7 15 3 2 10 1 22 5 25
72,1 3 7 25 6 2 16 10 45 11
73,1 4 2 6 9 10 15 42 11 14
74,2 6 7 4 5 8 19 15 11 21
75,7 10 3 2 34 9 5 16 47 1
76,6 2 1 10 11 4 15 25 69 24
77,6 1 3 11 7 9 15 8 10 25
78,10 2 25 3 4 14 6 7 17 16
79,6 10 7 3 45 24 8 2 16 25
81,7 4 6 1 3 2 11 8 19 22
82,4 6 2 3 1 7 10 25 34 11
83,7 4 10 8 15 3 1 6 9 5
84,2 4 7 8 3 9 26 32 20 17
85,2 1 4 14 10 7 9 15 5 72
86,6 7 2 1 3 4 10 5 25 45
88,10 3 2 25 44 4 16 6 14 8
89,10 3 2 1 8 4 20 6 29 15
90,10 7 3 2 45 4 47 1 6 25
91,2 4 7 9 11 8 17 32 20 28
92,7 4 2 1 10 3 6 15 27 29
93,7 4 2 9 8 6 1 15 10 17
94,4 7 6 2 8 1 11 15 16 44
95,2 4 10 3 6 1 45 34 75 19
96,2 10 1 3 4 7 14 6 8 15
97,7 4 2 6 10 1 22 45 9 16
98,2 3 7 8 10 15 9 1 6 4
99,4 7 2 9 37 8 5 75 15 14
100,8 3 4 11 15 20 2 9 6 10
101,2 4 1 19 6 8 26 3 11 5
102,6 2 9 1 3 5 11 15 79 10
103,7 10 4 1 8 26 6 17 67 3
104,8 4 2 3 1 10 9 6 15 25
105,4 2 9 7 11 1 6 8 15 20
107,4 2 6 9 7 48 28 36 75 16
108,2 7 1 4 10 9 54 36 28 8
109,2 1 7 3 10 5 4 25 14 33
110,2 4 9 1 3 8 6 11 7 19
111,2 4 15 7 10 6 48 8 1 16
112,1 7 4 9 25 15 3 2 6 8
113,7 2 3 1 6 10 4 25 45 15
114,2 4 9 1 8 15 54 12 37 38
115,2 10 6 5 1 7 4 24 11 17
116,7 2 4 16 8 15 5 1 48 21
117,4 2 9 8 7 6 11 1 10 20
118,7 4 2 1 5 8 6 10 9 11
119,7 4 8 9 15 2 5 1 3 22
121,4 45 7 9 8 2 3 36 1 10
122,7 1 6 10 3 9 8 25 15 20
123,4 2 7 10 5 34 75 36 77 14
124,4 10 8 16 9 1 3 45 26 28
126,4 7 10 75 20 45 1 2 48 16
127,8 2 4 11 15 12 19 25 20 87
128,7 1 2 6 11 4 8 9 16 51
129,4 7 9 8 1 15 17 10 3 37
130,7 2 26 15 1 9 16 8 25 10
131,25 2 4 16 44 75 9 45 1 33
132,2 6 1 4 25 45 10 7 67 9
134,2 15 79 7 3 6 4 10 11 61
135,7 4 24 10 1 45 2 5 8 3
136,7 4 1 2 8 10 6 45 9 5
137,4 7 6 2 10 5 8 1 17 48
138,10 2 8 6 4 16 9 15 1 32
139,7 10 6 5 8 3 16 26 45 11
140,2 7 3 6 4 10 11 15 5 9
141,10 7 5 8 15 29 20 47 17 50
142,2 1 7 6 10 5 36 14 15 17
143,2 7 10 15 8 4 1 9 3 16
144,4 7 2 6 8 9 36 28 11 1
145,10 3 1 25 8 26 28 6 14 15
146,1 2 7 15 11 10 16 4 21 5
147,1 7 24 10 11 3 15 2 29 61
148,2 1 9 7 4 8 15 11 22 10
149,4 2 7 3 16 8 26 25 9 45
151,7 6 2 4 8 1 10 9 15 5
152,2 4 8 1 16 5 10 6 53 15
153,7 10 2 3 1 15 14 8 29 16
154,2 7 10 14 25 45 48 3 5 75
156,7 3 8 10 5 1 6 4 15 29
157,6 10 4 7 1 11 15 5 8 16
158,1 7 10 3 25 11 15 20 16 8
160,1 6 7 11 15 8 26 3 17 37
163,2 4 1 15 6 7 9 10 5 16
164,2 4 19 6 3 9 1 7 11 17
165,7 9 8 10 4 3 15 2 14 25
167,1 33 25 4 9 18 15 10 7 11
168,517 189 44 0 284 808 285 1 557 1266
171,8 4 7 3 2 9 1 15 10 20
172,4 7 8 25 51 1 48 16 22 3
173,4 2 9 7 1 8 3 11 15 32
174,4 2 9 8 7 3 11 6 1 15
175,3 7 10 15 1 6 29 8 14 4
177,7 4 1 8 6 3 15 9 32 26
178,4 2 10 14 17 16 34 1 22 3
181,7 1 2 5 6 8 19 21 4 11
182,7 5 3 1 10 4 8 6 2 29
183,2 1 4 6 7 10 11 9 38 5
184,2 1 10 7 15 14 18 30 29 9
185,2 10 7 1 5 3 14 15 6 26
187,2 1 4 6 7 10 15 26 8 32
188,2 1 4 7 3 15 8 9 6 20
189,6 4 5 11 9 20 19 10 22 42
191,7 10 2 1 4 16 8 5 15 45
192,2 10 4 3 11 20 7 30 32 19
193,6 3 4 2 24 45 7 9 18 1
194,7 4 8 10 1 2 20 28 11 16
196,1 7 2 6 16 15 25 19 11 68
197,1 7 15 2 4 10 9 25 29 5
198,7 6 2 9 4 8 32 1 5 11
199,7 5 1 2 15 6 10 29 8 11
200,4 2 7 8 1 10 3 11 9 20
201,4 7 8 3 10 5 34 9 1 14
202,2 10 16 1 6 8 25 44 9 17
203,7 6 2 15 26 1 3 8 4 11
205,7 8 6 4 11 5 3 15 21 17
206,6 7 1 8 4 2 3 24 11 10
207,2 3 10 6 4 7 11 45 61 20
208,2 4 6 16 9 15 10 5 21 17
210,8 4 2 7 9 26 15 1 19 5
211,7 6 5 8 2 4 3 11 10 26
212,2 10 14 7 25 6 15 4 33 18
215,2 10 4 7 3 16 8 15 20 6
216,2 7 15 9 6 1 33 26 10 8
217,10 7 9 6 4 8 3 15 16 54
218,7 1 2 6 4 11 5 16 24 10
219,7 6 4 1 5 10 8 19 48 24
220,1 7 3 2 6 4 11 45 5 8
221,7 5 8 6 2 15 4 9 1 3
223,7 10 1 8 5 4 16 3 14 48
225,7 1 8 3 2 4 5 15 10 6
226,1 15 8 9 10 11 29 4 25 16
227,7 2 4 6 10 15 8 1 11 9
228,4 1 3 2 7 6 11 10 8 25
229,7 5 8 2 11 47 10 45 17 9
230,7 4 2 36 45 8 10 16 3 1
231,7 1 10 3 2 15 8 6 20 25
232,8 2 7 4 6 10 28 25 9 17
233,7 9 16 15 36 5 6 21 1 22
234,7 5 6 8 19 1 2 48 14 10
235,7 10 2 1 6 15 8 5 9 11
236,8 3 10 32 4 5 6 7 9 15
237,7 3 4 45 1 2 6 10 31 8
238,7 1 6 16 2 8 21 11 5 4
239,2 25 10 1 6 7 4 16 3 15
240,4 2 10 6 1 7 9 16 45 8
241,7 2 10 4 1 16 6 15 5 36
242,4 9 2 7 8 1 6 15 10 22
