user_id,item_list
1,101 36 506 515 403 123 1546 52 694 254
2,1095 47 50 12 11 28 4 2 1522 5
3,59 857 4252 2172 536 648 956 259 584 1281
4,28 249 50 136 145 139 5 146 314 277
5,1570 77 170 116 95 131 148 8 135 5138
6,886 9 88 35 6 2 3 168 395 104
8,210 443 451 600 722 80 95 480 3916 1749
9,9018 2821 10108 17799 2282 4535 20151 4802 6415 21322
10,1816 1446 561 1668 2617 2565 2423 3905 1767 3721
11,40 31 58 67 99 34 955 44 32 185
12,4704 2582 261 329 408 325 212 108 1090 2242
13,1316 2403 11016 10234 11747 9817 11048 11174 9813 12372
14,1050 90 297 345 37 51 17 28 1244 47
15,236 1107 308 388 6957 220 707 35 17 28
16,7 617 29 946 1463 9752 1692 1346 54 1569
17,19 80 44 11 43 50 98 57 4 47
18,332 255 766 617 192 3226 179 1099 973 164
19,252 154 3571 764 636 9442 8473 8044 9482 639
20,467 573 279 313 376 134 242 129 192 482
21,152 405 1111 786 873 2 458 615 484 13
23,1279 2295 6111 1290 3351 82 754 8444 983 89
24,18934 4937 8516 15801 13156 2247 5703 13803 22124 10595
25,6105 19548 18088 11929 20128 10011 107 8281 1309 19286
26,41 139 1089 1005 254 269 15 1256 474 292
28,47 19 11 41 39 325 33 55 136 37
29,28 627 77 1555 47 60 43 17 516 681
30,23 17058 57 12 71 160 259 9 17056 98
32,379 1393 2316 2734 1986 418 2418 1946 8964 2141
33,1510 4904 11199 435 496 264 61 6937 1807 95
34,888 434 1159 567 8930 10001 812 3602 365 6219
35,314 139 254 146 996 1079 165 1081 474 1212
36,4 16 6 44 3 22 202 181 48 20
38,101 11 2 161 4 38 7 14 28 403
39,304 378 8 1057 1 165 36 139 437 134
40,31 17 58 47 19 76 9 42 174 4
41,31 58 55 618 486 592 77 66 175 148
42,249 1369 1310 5744 252 329 293 132 308 763
43,238 149 15 36 683 372 1369 21 541 135
44,499 215 133 7 267 843 350 457 81 606
45,202 783 15 1230 21 101 413 4030 3177 10
46,2253 4116 4126 22 228 322 1505 5625 48 25
47,96 214 38 211 344 1635 154 442 262 85
48,28 17 332 47 27 37 296 145 7 42
49,116 148 182 344 138 32 96 304 309 5
50,177 199 67 481 748 143 634 4 235 2
51,238 42 428 4 625 919 11 28 678 50
52,94 438 262 146 498 133 139 178 81 3049
53,3970 6472 7075 3687 6471 4819 6273 7516 9043 6277
54,19 2 238 174 8 278 6 112 157 769
55,5255 6617 12798 13878 6095 6941 10578 7290 20 6093
56,99 384 1198 116 1342 66 262 60 6 831
57,160 648 104 956 536 186 144 168 582 149
58,2404 101 3945 433 582 693 36 1546 13965 308
59,4462 93 612 1190 5051 5821 353 415 1551 4900
60,517 189 44 0 284 808 285 1 557 1266
62,278 238 291 583 106 411 950 3059 85 3575
63,1316 1668 624 80 978 65 1051 3011 4833 4042
64,41 5 36 379 3438 3124 98 7128 524 5360
65,517 189 44 0 284 808 285 1 557 1266
67,181 13 23 111 739 2 122 4 6203 17
68,96 281 138 324 1151 344 178 1994 546 3373
69,25 95 14 22 371 33 16 4 19 46
70,67 1 33 2 177 135 74 614 22 19
72,9653 7169 7454 8620 10901 10910 41 39 58 6479
73,125 21 516 998 112 10057 1728 36 2660 4252
74,11 27 47 42 145 37 388 136 4 815
75,56 19 184 9 80 258 1 803 319 702
76,31 40 77 55 66 2401 1124 308 76 304
77,1 6 7 216 771 8 19 131 3 18
78,546 155 63 88 36 131 2 751 27 81
79,138 208 344 85 146 66 77 21 171 1070
81,7600 135 22 250 2599 664 77 705 66 148
82,55 76 49 181 33 3 23 4 65 486
83,1083 1214 1288 5 117 2237 486 805 308 754
84,41 31 411 583 39 76 141 4 1537 3
85,116 31 41 60 39 304 83 17 22 48
86,154 28 17 786 47 27 11 398 298 145
88,346 99 1222 1089 133 2725 56 11531 139 3
89,138 154 433 324 344 186 12673 35 15015 12672
90,21 64 144 98 104 56 109 184 13 192
91,90 1406 82 884 2 915 104 4 168 1438
92,2988 9622 21223 1346 21604 140 147 32 14083 471
93,95 220 1024 768 174 28 537 17 532 37
94,28 42 11 51 498 6 1020 136 145 365
95,44 4 482 16 112 339 26 2456 6 284
96,72 766 1264 617 601 1346 483 118 845 394
97,654 7604 1777 1673 2364 2114 5431 923 423 910
98,7839 11765 8688 21 13600 13494 17162 7590 29 10
99,138 96 64 57 204 995 356 511 877 527
100,313 99 764 636 11 63 1050 50 262 6
101,2314 82 837 754 1177 1207 282 1290 624 526
102,7055 5724 2904 2284 67 2843 2958 2283 3208 1795
103,694 1481 13 901 155 17 11 751 98 97
104,119 299 252 23 71 112 2 75 639 3
105,8752 21 19078 6820 18668 885 196 16862 6804 9257
107,39 55 51 4 313 3 764 16 467 33
108,32 94 182 585 689 34 298 208 147 108
109,131 745 49 1975 51 1868 4 2 1147 87
110,58 76 82 428 19 1155 625 2416 983 755
111,59 95 35 536 584 56 648 220 371 414
112,365 2603 498 3692 105 264 690 1629 871 1365
113,168 104 9 372 184 224 240 56 149 1391
114,17 5 50 37 27 293 186 111 575 42
115,1511 44 1220 2700 4 121 16 263 6374 2436
116,15 101 354 161 403 544 337 699 506 922
117,88 217 87 72 4894 108 798 1927 81 131
118,7 112 295 298 85 677 422 4031 759 791
119,179 596 1433 102 813 267 416 7 1336 3154
121,2729 1971 2886 3659 6784 4976 3755 2575 6468 3134
122,28 17 40 27 111 1 3659 3134 55 51
123,33 8 65 73 103 4 330 20 663 194
124,346 94 34 2590 1198 1342 859 3520 138 1704
126,131 766 7521 8755 617 5585 6026 625 177 428
127,618 40 41 42 55 39 47 11 50 828
128,42 11 50 28 9266 145 277 814 36 2493
129,40 585 31 147 58 2013 533 1960 262 1722
130,148 736 116 593 378 175 831 766 644 471
131,55 6967 198 4 2 117 159 50 939 17
132,843 133 335 474 316 554 171 1821 563 254
134,4 186 80 56 174 95 2 65 73 122
135,15 22 446 132 763 891 48 566 2 103
136,8740 9766 143 35 8683 4 11033 2 1 1687
137,157 313 143 2 1542 376 275 1825 1 627
138,117 120 28 11 1670 50 500 47 363 54
139,31 56 58 144 22 170 76 65 6 80
140,25 16 44 95 4 28 19 37 50 6
141,5 624 39 31 40 7 253 43 8 1440
142,94 40 39 58 41 154 2 55 62 7
143,1573 28 480 17 47 33 1749 2724 145 1536
144,35 9 168 133 144 318 184 254 149 224
145,56 16 144 42 8 47 1 28 50 149
146,85 51 93 520 496 1450 120 230 38 532
147,80 1 44 2 95 157 33 48 174 16
148,265 279 20 1817 4344 1750 116 60 7058 175
149,17 45 37 47 50 220 122 27 145 2
151,1207 936 1067 281 1405 621 716 997 2610 89
152,85 45 80 389 157 66 4 159 326 2
153,17 27 37 145 42 136 363 679 122 277
154,55 58 76 80 1083 546 2 486 135 3
156,42 37 451 136 760 174 691 6 157 569
157,7027 6197 6725 6428 17907 17896 17895 7395 6721 5724
158,19 33 1 65 35 95 157 20 103 144
160,134 2955 22 73 141 163 802 427 33 65
163,44 1098 343 3259 71 4 16 89 2170 2077
164,44 4 2599 61 268 74 1 25 243 16
165,3537 3476 385 3870 555 6309 2841 392 10197 5542
167,33 48 4 103 1 20 83 19 14 24
168,517 189 44 0 284 808 285 1 557 1266
171,11 145 13 28 136 433 399 1 18 43
172,40 76 3 5 102 212 13 4 342 133
173,320 2013 262 585 203 2106 708 1163 38 188
174,154 298 4031 287 21 11515 29 1405 162 2513
175,61 8 20 390 6 48 4 1 82 74
177,27 145 8 136 80 1 4 220 277 157
178,1 128 112 56 4 23 2 44 14 3
181,1321 512 2151 1899 1304 2255 1932 3544 1019 168
182,27 28 11 42 145 277 37 363 5 679
183,16596 9741 229 480 4252 177 14100 2751 19084 3464
184,47 27 50 220 1 42 37 145 326 2
185,901 2326 1737 22 3872 316 292 48 1706 960
187,17 28 399 11 5 45 165 201 244 145
188,85 3537 2791 3407 94 2702 808 2072 7145 120
189,94 4057 1198 5332 2582 159 5806 38 442 147
191,2963 262 2577 738 1172 39 31 40 392 4
192,154 1057 446 105 38 4 1352 2 73 22
193,2053 33 2023 22 494 196 65 706 123 1763
194,21 1159 131 812 109 21332 25 51 4066 4102
196,712 3750 509 1846 910 44 401 133 1966 16
197,242 430 467 152 615 573 938 471 873 484
198,36 511 375 161 857 750 506 403 354 832
199,897 34 94 2163 1704 392 33 4868 738 99
200,9325 10 20075 155 159 1681 422 4247 166 765
201,174 1 251 48 141 272 4 22 424 73
202,96 40 39 101 2424 59 76 2423 1124 3620
203,4066 4662 7 9250 9528 1822 225 8765 21332 8993
205,4 22 33 5 65 2201 157 174 103 8
206,981 851 1568 229 500 117 510 459 159 1842
207,94 6 135 238 72 278 590 1897 1931 34
208,41 22 39 58 2 17 4 45 837 73
210,433 399 261 316 474 582 292 350 325 563
211,323 214 603 1296 230 211 154 278 3189 177
212,712 1790 51 365 298 81 11 107 217 93
215,15 1938 1519 1210 88 2355 2841 463 101 8994
216,985 510 957 160 62 500 178 1375 105 414
217,144 258 35 168 184 56 240 803 310 1082
218,43 57 109 88 16 348 262 4 204 598
219,107 88 81 43 26 4 210 21 284 217
220,137 4252 7 68 12798 13878 295 380 422 18909
221,883 5 294 71 23 2231 1476 7792 7718 4987
223,903 732 441 347 14 261 856 20 1848 4727
225,250 385 781 541 1053 1521 238 748 278 404
226,19 4 1 68 48 112 54 8 51 24
227,116 175 20 22 309 378 142 304 103 593
228,189 61 74 75 519 190 44 266 528 1428
229,2 170 36 22 1230 48 132 243 74 33
230,108 759 1203 831 167 2152 1352 10537 2730 1460
231,85 42 28 50 202 15 9 37 136 131
232,4 19 76 33 55 40 41 203 31 2
233,96 1 182 476 6 44 14 2208 117 16
234,136 145 42 27 11 47 774 28 37 36
235,55 664 98 43 51 5 64 198 486 8
236,116 175 7 437 593 378 304 309 736 2162
237,8 1112 786 1283 1028 998 1728 266 739 1219
238,80 157 174 4 2 1 33 48 8 20
239,390 1488 89 4941 3620 3162 5 13 3616 5072
240,119 433 399 2689 2913 420 631 1165 801 3460
241,425 4567 687 482 1027 1672 23 2247 8794 218
242,17628 4900 10897 13333 5216 17641 14537 12370 5821 19859
243,8 1191 1422 25 1481 2453 266 3162 265 3620
245,1 2657 1093 93 6249 203 172 211 214 1410
246,1512 2 5039 364 9172 8 2642 210 266 251
247,56 168 310 184 382 149 319 373 570 372
248,6 2 110 26 30 46 4 1 72 296
249,39 55 486 3 342 143 592 449 618 811
251,33 60 4 116 2 14 65 19 148 35
253,80 44 2 157 22 14 3 33 16 20
254,612 1005 329 261 994 1620 139 1069 415 33
255,2386 20 14 73 92 24 44 828 145 1051
256,95 220 8 537 66 60 191 35 175 168
257,681 170 955 80 20 174 702 301 157 1
258,585 1722 1367 389 15 4539 1041 907 159 689
259,5 45 8 29 328 621 181 191 537 4
260,80 216 1 157 8 52 22 33 20 65
261,517 189 44 0 284 808 285 1 557 1266
262,50 5 56 104 136 6 184 277 1 13
263,950 135 139 825 133 6 14 1 20 8
264,767 36 7 1714 101 5180 1476 3253 20390 8933
265,1 739 5414 132 14 173 2 4 482 4567
266,162 19199 10642 18356 2721 5453 1114 6679 85 7723
267,158 291 2513 257 63 774 112 7294 3183 283
268,6551 4100 7900 325 733 3372 630 2962 9843 16672
269,122 28 17 168 104 244 50 532 35 27
270,39 58 486 3 401 342 78 596 813 143
271,59 160 15 685 451 648 827 584 259 80
273,600 769 443 2841 722 555 1210 1768 9027 2202
274,1100 1196 609 2186 102 1503 156 3959 2532 2124
275,496 476 2208 8332 762 2689 2057 2505 1169 3214
276,40 39 41 161 58 55 506 403 354 3
277,376 561 573 430 10 117 985 1724 20 109
278,138 324 344 51 120 712 10 510 94 1227
279,112 26 107 108 30 649 90 62 68 237
280,149 104 17286 683 807 558 35 8834 12162 412
281,40 41 618 39 31 17 27 47 1108 11
282,116 66 8 80 67 20 24 31 278 134
283,104 35 31 40 9 4 135 144 55 238
285,44 40 41 39 572 789 571 2599 203 388
286,19820 17608 680 440 15 1462 566 17561 321 472
287,40 76 41 1232 31 39 303 350 592 843
288,1095 52 690 44 1354 8 281 109 3176 716
289,15 390 884 82 915 101 1438 1812 305 1421
290,34 449 365 51 262 36 4057 3597 53 4704
292,146 17 48 171 8 35 316 80 314 27
293,19 4 80 1 103 8 14 33 48 265
294,15 36 291 1523 790 1223 53 354 1234 506
295,521 1630 1221 149 168 372 720 5848 11834 2449
297,44 4 17 1008 27 47 11 16 1871 1103
299,45 80 191 465 537 389 6 1067 792 2
300,296 1004 360 267 3092 407 46 7064 6 1337
301,58 39 31 3 36 87 81 2 298 237
302,22 33 174 2 20 44 6 157 103 77
303,16 44 25 3 34 489 510 282 704 78
304,211 1087 18990 469 19567 16226 17428 10689 18805 12431
305,29 751 117 159 510 1490 68 7 64 800
306,179 596 734 3325 601 813 29 249 252 442
307,60 5242 77 207 20 842 116 22 3453 265
308,716 51 81 475 202 107 365 19213 88 217
309,43 29 133 165 101 98 198 13 356 455
310,16 262 51 401 596 4 2060 813 6 183
311,716 5772 352 5977 3862 9745 1448 3454 11003 6279
312,4094 6064 8328 12082 5044 1304 12929 21554 470 1321
314,35 9 382 224 570 373 149 240 310 319
315,51 401 1431 81 596 96 601 29 9770 131
316,517 189 44 0 284 808 285 1 557 1266
317,121 1040 2139 3497 3916 15826 286 20400 3995 3602
318,168 2967 35 4223 2208 184 1267 56 2294 9
319,279 22 48 65 1436 115 103 5831 4 2736
320,44 10 4 16 1199 3176 315 135 196 1227
321,107 256 2641 131 51 1393 6550 4640 1496 247
322,682 769 600 722 771 1872 760 778 578 2457
323,45 792 1024 537 906 880 7444 65 22 768
324,558 224 319 1417 1772 288 807 2717 240 683
327,725 102 205 267 858 1501 398 2894 609 698
328,10 105 18676 490 10737 1307 14742 4516 18483 158
329,3000 19 9573 248 111 3644 45 172 119 428
330,171 314 254 165 966 269 563 1132 932 843
331,109 217 1660 1115 455 247 130 154 43 85
332,60 148 4 48 175 1 2 40 76 65
334,12 31 55 76 41 56 1 40 458 35
337,56 104 168 240 874 184 224 149 382 570
338,42 50 11 28 9 35 136 168 104 13
339,22 82 35 42 983 397 1143 1100 47 50
340,4775 2056 1506 3976 5841 4371 327 124 6948 816
341,949 380 422 744 359 1180 276 3069 3614 7
342,9 4 56 26 107 131 1683 600 144 475
343,76 182 3 208 23 121 10 4 486 112
344,627 94 262 681 99 34 1315 2129 26 4787
345,12 16 266 4 405 1303 67 152 25 150
346,16 17 1 80 44 47 28 2 25 157
347,45 28 170 11 17 41 39 411 40 80
349,146 165 22 318 254 314 269 329 20 73
350,35 168 104 310 11 17 56 28 1286 50
351,2007 438 21 3095 1363 1467 2986 109 5502 63
352,733 4855 29 1090 2121 10305 1776 2495 2120 325
353,10 848 2468 3233 690 3176 1863 10660 588 22101
354,517 189 44 0 284 808 285 1 557 1266
355,41 31 55 3 618 592 486 283 112 490
356,134 33 1 48 65 73 2 8 61 83
357,771 778 174 722 122 111 2692 2800 91 5251
358,7 54 283 380 295 359 276 68 1002 820
361,10307 41 40 449 133 76 3 98 8168 342
363,117 308 5317 51 1493 500 321 1308 282 2034
