user_id,item_list
1,101 36 123 506 515 403 1546 694 52 1422
2,1095 47 12 50 1522 28 656 11 949 3176
3,59 857 2172 4252 4 1281 2748 956 536 259
4,249 28 50 136 314 139 145 171 146 254
5,1570 170 77 5138 95 471 116 1511 148 131
6,886 9 88 395 35 874 168 104 229 743
8,210 443 451 600 722 480 3916 80 95 1094
9,9018 2821 10108 2282 17799 4535 115 20151 4802 6415
10,1816 1446 561 1668 2617 2565 2423 3905 1767 3721
11,40 58 31 67 955 99 185 34 514 52
12,4704 2582 329 16291 212 2242 261 325 408 2781
13,1316 2403 11016 11747 10234 9817 11174 11048 9813 12372
14,1050 1244 297 345 90 2909 37 871 28 1102
15,236 1107 308 6957 388 707 220 653 35 13250
16,7 617 9752 946 29 1463 1692 1346 1569 3198
17,19 80 98 43 44 50 11 57 47 157
18,332 255 766 3226 192 617 973 179 3967 1099
19,3571 252 154 764 9442 636 8473 8044 9482 2376
20,467 279 573 376 313 134 242 129 192 482
21,405 152 1111 786 873 2 458 484 528 189
23,1279 2295 6111 3351 1290 8444 754 82 983 9318
24,4937 18934 8516 13156 2247 194 22124 5703 13803 6326
25,6105 19548 18088 11929 20128 10011 6905 8281 19286 17605
26,41 252 1005 1089 139 269 1256 1788 254 15
28,47 19 11 325 41 39 136 843 37 174
29,28 627 1555 77 43 516 60 681 4688 4121
30,17058 23 57 17056 160 259 12 15355 71 98
32,379 1393 2316 2734 1986 2418 418 1946 8964 2141
33,1510 4904 435 11199 264 496 6937 1631 10437 871
34,888 1159 434 8930 812 10001 567 3602 3190 6219
35,314 139 254 146 996 1079 1081 165 474 1212
36,181 202 1578 183 2205 283 4 16 1825 44
38,101 161 11 403 4360 2 1022 1906 354 539
39,304 1057 378 8 165 437 139 736 593 281
40,31 58 17 47 76 19 2546 174 42 3223
41,31 58 55 618 592 486 77 148 605 175
42,1310 1369 5744 249 329 252 293 829 308 4013
43,238 149 1369 683 372 36 15 21 2996 135
44,499 215 133 267 843 7 350 457 606 996
45,202 783 1230 15 21 101 3177 4030 413 1736
46,4116 2253 4126 1505 322 228 1799 5625 22 1218
47,96 214 211 344 38 1635 442 154 262 232
48,28 332 17 47 296 37 27 145 1337 3278
49,116 148 344 182 138 304 309 96 45 32
50,177 199 481 748 67 143 634 2282 235 238
51,238 428 625 42 919 1014 678 28 566 11
52,94 438 498 146 262 3049 178 1120 1395 2986
53,3970 6472 7075 3687 6471 4819 6273 7516 9043 18028
54,19 238 174 2 278 769 8 112 157 135
55,5255 6617 13878 12798 6095 6941 20 10578 103 7290
56,384 99 1198 1342 116 831 262 2531 2543 2963
57,160 648 956 536 104 186 159 582 168 144
58,2404 101 3945 433 693 582 1546 13965 308 869
59,4462 93 5821 5051 612 4900 1190 415 1551 353
60,2 4 1 7 3 6 8 9 15 20
62,238 278 291 3059 106 3575 583 950 411 904
63,1316 1668 624 978 3011 4833 4042 1051 80 65
64,41 5 524 36 3438 7128 5360 379 3124 6260
65,2 4 1 7 3 6 8 9 15 20
67,181 739 111 6203 13 23 122 3039 1619 244
68,281 96 138 324 1151 1994 178 546 344 743
69,25 95 14 371 1471 1372 22 1244 16 33
70,67 614 413 5433 2741 631 541 33 1 177
72,9653 7169 7454 8620 10901 10910 41 39 58 6479
73,125 516 21 998 10057 1728 2660 4252 36 120
74,27 11 47 42 388 145 37 2579 1004 1897
75,184 56 19 803 702 258 1028 319 570 2574
76,31 2401 40 1124 77 66 55 304 1532 11626
77,771 216 1903 722 600 1 682 155 778 131
78,546 751 155 7212 27 281 1152 63 14083 131
79,138 208 344 85 146 1070 2025 746 2085 77
81,7600 2599 664 705 135 9404 250 77 22 148
82,55 76 49 181 33 23 486 65 3 542
83,1083 1214 117 1288 5 2237 486 805 754 1290
84,583 411 41 31 1537 76 905 39 1497 2243
85,116 41 31 60 39 304 405 1539 458 309
86,154 28 786 17 27 398 47 11 298 1326
88,346 99 1222 11531 1089 2725 133 262 56 271
89,138 154 433 12673 324 344 186 15015 12672 15014
90,21 144 98 64 104 56 184 1220 2006 109
91,90 1406 82 884 915 1438 258 104 168 5765
92,2988 32 88 9622 1346 147 140 21223 21604 196
93,95 1024 768 220 537 174 28 17 532 496
94,28 42 11 498 51 1020 6 136 145 365
95,482 44 2456 112 4 339 2178 284 4627 16
96,72 766 1264 617 1346 601 483 1692 946 394
97,654 1777 7604 2364 1673 2114 5431 923 910 114
98,7839 11765 8688 21 13600 17162 13494 10 7590 29
99,138 96 64 57 511 995 204 877 356 1734
100,313 99 764 636 1050 63 851 11 262 50
101,2314 837 82 754 1177 1207 282 526 1290 707
102,7055 5724 2904 2284 67 5725 2958 2843 2283 3208
103,694 1481 901 751 155 98 13 97 2326 1737
104,119 299 252 23 71 112 639 75 1146 91
