user_id,item_list
1,101 36 123 506 515 403 694 1546 52 254
2,1095 47 12 50 1522 28 656 949 11 196
3,59 857 4252 2172 536 4 648 956 259 584
4,249 28 50 136 139 314 171 146 145 254
5,1570 170 77 95 5138 1511 131 116 471 148
6,886 9 88 395 35 168 874 104 229 743
8,210 443 451 600 722 95 480 80 3916 1749
9,9018 2821 2282 10108 17799 4535 4802 20151 6415 248
10,1816 1446 561 1668 2617 2565 2423 3905 1767 3721
11,40 58 31 67 955 99 185 34 52 32
12,4704 2582 261 329 325 212 2242 408 108 2781
13,1316 2403 11016 10234 11747 9817 11174 11048 9813 1875
14,1050 297 90 1244 345 2909 37 51 871 28
15,236 1107 308 6957 388 707 220 35 653 17
16,7 617 29 946 9752 1463 1692 1346 1569 54
17,19 80 44 43 98 11 50 57 47 157
18,332 255 766 192 3226 617 973 179 1099 3967
19,252 154 3571 764 636 9442 8473 8044 9482 2376
20,279 467 573 313 134 376 242 192 129 482
21,152 405 1111 786 873 2 458 484 615 189
23,1279 2295 6111 3351 1290 82 754 8444 983 89
24,18934 4937 8516 194 13156 15801 2247 1808 22124 13803
25,6105 51 19548 18088 183 11929 137 107 42 75
26,41 252 139 34 1256 15 1005 1089 269 254
28,47 19 11 325 41 39 136 843 174 37
29,28 627 1555 77 516 43 60 681 47 4688
30,23 17058 57 160 259 12 17056 71 15355 98
32,379 1393 2316 2734 1986 418 2418 1946 2141 8964
33,1510 4904 435 11199 264 496 61 6937 1631 871
34,888 434 1159 567 812 8930 10001 3602 365 6219
35,314 139 254 146 996 1079 1081 165 474 1212
36,181 202 4 183 283 1578 16 2205 44 445
38,101 11 161 2 403 1022 354 4360 38 1906
39,1057 304 378 8 165 1 36 139 101 437
40,31 17 58 47 76 19 174 2546 9 42
41,31 58 55 618 592 486 77 148 175 605
42,249 1310 1369 5744 329 252 293 308 829 763
43,238 149 15 36 1369 683 372 21 541 135
44,499 215 133 267 843 7 350 457 289 439
45,202 783 15 21 1230 101 413 3177 4030 1206
46,2253 4116 4126 322 228 1505 22 5625 1799 1218
47,96 214 211 38 344 1635 442 262 154 232
48,28 332 17 47 27 37 296 7 1337 145
49,116 148 182 344 138 304 5 309 32 45
50,177 199 67 481 748 143 634 235 2282 1043
51,238 428 625 42 919 678 1014 566 28 11
52,94 438 498 262 146 178 3049 81 1120 133
53,3970 6472 7075 3687 6471 4819 6273 7516 859 9043
54,19 2 238 174 278 769 8 112 157 135
55,5255 6617 13878 12798 6095 6941 10578 103 20 7290
56,384 99 1198 1342 116 831 262 2531 66 933
57,160 648 956 536 104 186 159 582 144 2043
58,2404 101 3945 433 582 693 1546 308 36 13965
59,4462 93 612 1190 5051 5821 415 4900 353 1551
60,2 4 1 7 3 6 8 9 15 20
