user_id,item_list
1,101 506 403 36 515 1546 977 637 3316 922
2,2 50 11 1095 47 5 28 19 14 9
3,59 956 584 259 536 648 857 1281 414 2748
4,28 50 249 145 136 1 5 111 277 14
5,4 8 20 116 75 170 24 135 278 44
6,7 14 6 81 2 9 21 886 3 26
8,210 600 760 722 451 443 1465 2219 778 1155
9,9018 5724 20113 21322 20151 17799 2821 15914 17772 13958
10,1446 1816 1668 2617 2565 2423 561 1767 3905 3721
11,40 31 58 4 2 44 955 67 6 32
12,4704 2582 408 261 984 2781 1149 1069 329 799
13,11016 9813 10234 9817 11747 11048 5996 12372 10949 1316
14,90 51 7 107 6 192 571 345 202 180
15,236 707 308 220 388 2 1107 82 19 1290
16,617 946 1692 1463 1346 394 7 3834 9752 88
17,1 19 57 42 98 4 5 17 16 47
18,766 179 617 255 596 401 332 946 88 394
19,764 252 636 639 3571 928 1146 9442 8044 1273
20,467 376 573 313 242 129 764 279 636 134
21,152 405 1111 458 615 873 484 3362 2203 1864
23,1279 2295 6111 282 1290 236 8444 837 3351 754
24,8516 1808 9953 2631 5703 15801 21310 13803 1545 14701
25,6105 12270 485 13332 8963 4089 4358 19662 17017 14747
26,139 1089 254 314 1256 474 1005 1620 269 2021
28,47 11 19 41 39 9 136 14 37 33
29,28 145 47 17 50 627 27 681 42 77
30,23 1 9 3 57 98 43 12 17 160
32,1393 379 2734 2316 5685 1986 2418 418 12332 8964
33,1510 11199 4904 1807 6937 61 10636 10564 10437 2411
34,202 81 6219 10001 365 434 8930 1713 888 3602
35,314 254 146 996 139 474 1079 1081 165 316
36,6 4 3 16 14 44 131 107 78 108
38,101 4 7 18 90 14 710 3 183 87
39,304 378 437 428 736 497 3 593 644 279
40,17 31 47 42 9 58 3 76 1 145
41,31 58 55 486 592 618 4 33 9 20
42,249 763 1369 5744 132 299 8 1310 252 10
43,238 149 372 683 541 15 104 168 1369 35
44,487 30 843 108 133 350 59 996 1006 563
45,783 1230 413 202 3107 1399 15 407 3868 19
46,2253 4116 5625 16336 174 21763 19 20036 2835 4126
47,214 96 38 211 344 1635 154 230 85 232
48,28 47 37 17 14 27 90 296 42 145
49,116 148 309 344 138 96 32 304 4 182
50,177 481 199 634 278 748 1043 404 541 67
51,238 250 919 4 428 24 2 19 1014 1891
52,94 262 133 139 318 146 314 254 269 15
53,3970 6472 7075 6471 6273 7516 6277 7883 4819 8168
54,19 4 1 8 2 6 24 44 278 110
55,5255 6617 6941 6095 12798 13878 6093 10578 7290 21154
56,1198 99 1342 738 4 392 262 8 2590 241
57,160 319 956 648 144 104 536 168 450 310
58,2404 3945 101 161 13965 9815 699 433 1546 308
59,1190 994 1551 353 4462 1071 612 415 5051 5821
60,517 189 44 0 284 808 285 1 557 1266
62,411 291 583 905 841 950 904 4520 2669 1991
63,1316 1668 80 4 20 65 2 2442 4042 3011
64,41 1851 3124 7128 1962 3438 1483 379 5360 6260
65,517 189 44 0 284 808 285 1 557 1266
67,181 23 2 13 111 122 7 17 91 41
68,138 96 324 281 1994 344 1151 3373 3221 81
69,14 19 95 4 22 65 2 172 33 48
70,135 67 177 44 74 80 614 19 33 2
72,9653 7454 7169 10901 8620 10910 6479 5002 41 39
73,125 21 51 516 154 109 217 85 10057 15
74,27 11 47 42 37 145 136 9 2 14
75,184 56 803 319 258 570 450 9 1417 2574
76,308 31 40 837 805 624 754 2401 556 1716
77,7 6 1 18 26 19 112 8 3 137
78,7 155 131 63 88 25 81 546 3 10
79,138 208 344 77 66 175 318 146 254 171
81,8 7600 135 67 172 614 44 20 33 9404
82,55 76 3 49 2 181 20 33 486 4
83,1083 1214 1288 486 2237 40 41 55 76 117
84,411 583 905 1537 2 41 1497 2243 3 31
85,39 31 41 116 60 304 428 83 309 378
86,154 28 298 17 27 47 786 11 145 42
88,99 346 1089 139 318 2725 133 3 2204 4
89,138 12673 12672 15014 324 12677 344 15015 18468 16480
90,21 64 109 98 13 455 144 9 356 104
91,2 915 7 4 104 56 38 90 144 1406
92,21604 21223 2988 14083 9622 9404 7600 18944 3541 6794
93,95 1024 220 537 768 191 860 174 17 42
94,28 42 11 145 51 136 37 365 498 14
95,44 4 26 75 16 114 61 107 183 32
96,766 1264 72 401 617 845 118 135 255 2643
97,453 654 5431 6530 423 910 4 1673 494 7884
