user_id,item_list
1,101 36 123 506 515 403 1546 694 52 1422
2,1095 47 12 50 1522 28 656 11 949 3176
3,59 536 648 4252 4 259 584 956 857 2172
4,249 28 50 136 314 139 145 171 146 254
5,1570 170 77 5138 95 471 116 1511 148 131
6,886 9 88 395 35 874 168 104 229 743
8,210 443 451 600 722 80 95 480 3916 1749
9,9018 2821 10108 17799 2282 4535 20151 4802 6415 21322
10,1816 1446 561 1668 2617 2565 2423 3905 1767 3721
11,40 58 31 67 955 99 185 34 514 52
12,4704 2582 329 16291 212 2242 261 325 408 2781
13,1316 2403 11016 11747 10234 9817 11174 11048 9813 12372
14,1050 1244 297 345 90 2909 37 871 28 1102
15,236 1107 308 6957 388 707 220 653 35 13250
16,7 29 617 54 946 1463 1346 1692 394 338
17,19 80 44 11 43 50 98 57 4 47
18,332 255 766 617 192 3226 179 1099 973 164
19,252 154 3571 764 636 9442 8473 8044 9482 639
20,467 573 279 313 376 134 242 129 192 482
21,152 405 1111 786 873 2 458 615 484 13
23,1279 2295 6111 1290 3351 82 754 8444 983 89
24,18934 4937 8516 15801 13156 2247 5703 13803 22124 10595
25,18088 19548 11929 10011 19733 13332 8963 14259 6105 1309
26,41 252 1005 1089 139 269 1256 1788 254 15
28,47 19 11 325 41 39 136 843 37 174
29,28 627 1555 77 43 516 60 681 4688 4121
30,23 57 160 259 12 71 9 1 98 17058
32,379 1393 2316 2734 1986 418 2418 1946 8964 2141
33,1510 4904 11199 435 496 264 61 6937 1807 95
34,888 434 1159 567 8930 10001 812 3602 365 6219
35,314 139 254 146 996 1079 165 1081 474 1212
36,181 202 1578 183 2205 283 4 16 1825 44
38,101 161 11 403 4360 2 1022 1906 354 539
39,304 378 8 1057 1 165 36 139 437 134
40,31 58 17 47 76 19 2546 174 42 3223
41,31 58 55 618 486 592 77 66 175 148
42,249 1369 1310 5744 252 329 293 132 308 763
43,238 149 15 36 683 372 1369 21 541 135
44,499 215 133 7 267 843 350 457 81 606
45,202 783 1230 15 21 101 3177 4030 413 1736
46,4116 2253 4126 1505 322 228 1799 5625 22 1218
47,96 214 211 344 38 1635 442 154 262 232
48,28 17 332 47 27 37 296 145 7 42
49,116 148 182 344 138 32 96 304 309 5
50,177 67 481 199 748 235 143 634 180 1043
51,238 428 625 42 919 1014 678 28 566 11
52,94 438 262 146 498 133 139 178 81 3049
53,859 3970 3687 4819 6472 6471 720 7075 67 18028
54,19 2 238 174 6 278 769 112 135 48
55,5255 12798 13878 6617 21154 6095 6941 12491 6455 10578
56,384 99 1198 1342 116 831 262 2531 2543 2963
57,160 648 104 956 536 186 144 168 582 149
58,2404 101 3945 433 582 693 36 1546 13965 308
59,4462 93 5821 5051 612 4900 1190 415 1551 353
60,2 4 1 7 3 6 8 9 15 20
62,278 238 291 583 106 411 950 3059 85 3575
63,1316 1668 624 80 978 65 1051 3011 4833 4042
64,41 5 524 36 3438 7128 5360 379 3124 6260
65,2 4 1 7 3 6 8 9 15 20
67,181 739 111 6203 13 23 122 3039 1619 244
68,96 281 138 324 1151 344 178 1994 546 3373
69,25 95 14 22 371 33 16 4 19 46
70,67 614 413 5433 2741 631 541 33 1 177
72,9653 7169 7454 8620 10901 10910 41 39 58 6479
73,125 21 516 998 112 10057 1728 36 2660 4252
74,11 27 47 42 145 37 388 136 4 815
75,184 56 19 803 702 258 1028 319 570 2574
76,31 2401 40 1124 77 66 55 304 1532 11626
77,1 6 7 216 771 8 19 131 3 18
78,546 751 155 7212 27 281 1152 63 14083 131
79,138 208 344 85 146 1070 2025 746 2085 77
81,7600 2599 664 705 135 9404 250 77 22 148
82,55 76 49 181 33 3 23 4 65 486
83,1083 1214 117 1288 5 2237 486 805 754 1290
84,583 411 41 31 1537 76 905 39 1497 2243
85,116 31 41 60 39 304 83 17 22 48
86,154 28 786 47 398 27 17 298 267 457
88,346 99 1222 11531 1089 2725 133 262 56 271
89,138 154 433 12673 324 344 186 15015 12672 15014
90,21 144 98 64 104 56 184 1220 2006 109
91,90 1406 82 884 915 1438 258 104 168 5765
92,2988 9622 21223 1346 21604 140 147 32 14083 471
93,95 1024 768 220 537 174 28 17 532 496
94,28 42 11 498 51 1020 6 136 145 365
95,44 4 482 16 112 339 26 2456 6 284
96,72 766 483 1264 88 601 617 118 135 401
97,654 7604 1777 1673 2364 2114 5431 923 423 910
98,7839 11765 8688 21 13600 13494 17162 7590 29 10
99,138 96 64 57 204 995 356 511 877 527
100,313 99 764 636 11 63 1050 50 262 6
101,2314 82 837 754 1177 1207 282 1290 624 526
102,7055 5724 2904 2284 67 5725 2958 2843 2283 3208
103,694 1481 13 901 155 17 11 751 98 97
104,119 299 252 23 71 4 112 75 91 26
105,8752 19078 18668 6820 9257 16862 20359 6804 21120 12791
107,39 55 51 4 313 3 764 16 467 33
