user_id,item_list
1,101 506 403 36 515 977 1546 637 869 3316
2,1095 2 50 11 47 5 28 19 14 9
3,59 956 2748 1281 857 584 2172 3152 536 259
4,28 50 249 145 136 5 1 14 277 111
5,4 8 1570 20 116 5138 75 135 9039 278
6,7 14 886 6 2 21 9 3 26 88
8,210 600 760 722 443 451 1155 1465 1683 480
9,9018 18119 20151 21322 17799 20199 13958 17772 10813 13452
10,1816 1446 1668 3905 2617 2565 2423 3721 561 1767
11,40 31 58 4 2 955 44 67 32 6
12,4704 2582 16291 408 261 2781 799 1090 1069 329
13,11016 9813 9817 10234 11747 11048 10949 12372 8209 5996
14,90 51 7 107 14893 6 15572 21285 16532 192
15,236 707 6957 308 1107 220 388 82 754 2
16,9752 617 18188 946 1692 1463 1346 10226 16997 3834
17,1 19 42 98 4 5 17 57 16 47
18,179 401 766 617 255 596 332 12070 13196 13555
19,764 252 3571 636 9482 9442 8044 8473 639 10660
20,467 376 573 313 242 129 764 19900 21574 279
21,152 405 1111 458 615 873 484 14140 21459 20502
23,2295 1279 6111 8444 10348 9318 6066 3351 236 14092
24,18934 19360 16251 14701 21184 22124 8516 14099 13156 4937
25,19733 17605 12101 13373 10011 22347 7450 7445 7446 7447
26,139 314 254 1256 474 1089 269 1328 353 1005
28,47 11 19 41 39 9 136 14 37 33
29,28 145 47 17 627 50 27 681 4688 2150
30,17058 17056 15355 23 9 1 3 57 98 43
32,1393 379 2734 2316 8964 12332 1986 2418 5131 17614
33,11199 4904 10636 10437 1510 10564 1807 6937 61 21940
34,6219 202 19492 18344 8930 14843 10001 14526 15951 22346
35,314 254 996 146 1079 474 139 1081 1824 165
36,6 4 3 16 14 44 107 131 78 108
38,101 4 7 18 90 14 3 161 85 8
39,304 378 437 736 428 497 593 644 3 265
40,17 31 47 9 42 58 3 76 145 1
41,31 58 55 486 592 618 4 33 9 68
42,5744 132 11671 299 1310 763 249 8 1369 252
43,238 149 683 372 541 15 104 168 35 144
44,843 30 350 133 108 996 1006 563 59 606
45,1230 783 413 3107 18188 1399 202 15 3868 174
46,4116 2253 21763 4126 21233 19775 4357 1505 13863 174
47,214 96 211 38 1635 344 154 230 232 85
48,28 47 37 17 90 27 14 42 145 46
49,116 148 138 32 309 344 182 4 96 304
50,177 481 199 634 748 278 1043 404 541 67
51,238 919 250 1014 428 1891 4 625 678 1892
52,94 262 16633 133 139 318 146 314 7926 2986
53,6472 7075 3970 6471 6273 7516 6277 7883 4819 8168
54,19 4 1 8 2 6 24 17 238 33
55,5255 6617 13878 12798 6941 6095 6455 21154 19012 20332
56,1198 99 1342 738 3076 262 4465 392 8 1387
57,160 319 956 144 104 536 168 648 310 450
58,2404 3945 13965 15739 10431 101 9815 161 7535 699
59,4462 1190 5821 5051 4900 1551 353 1071 612 994
60,189 44 0 284 808 285 1 557 1266
62,8478 19736 411 583 905 291 841 11479 904 11493
63,1316 1668 4833 4042 3011 80 4 11880 20 65
64,7128 6260 5360 7481 9754 5189 6527 5564 5374 8714
65,189 44 0 284 808 285 1 557 1266
